target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
15,5,0.5,1.5,500p,ok,False,113.13017626239224,15.023860248876336,14.775851128771235,18.467224927499082,I15_L5_on0.5_off1.5_500p_search,
15,5,1.0,1.0,500p,ok,True,96.60247973175188,15.015712326202708,14.762784047698833,18.445321332116325,I15_L5_on1_off1_500p_search,
15,5,1.0,1.0,250p,ok,False,104.71570572760855,15.015850381962116,14.762942068897736,18.445401177332926,I15_L5_on1_off1_250p_verification,
15,5,1.5,0.5,500p,ok,True,98.03929944554892,15.007786029269646,14.750281522329622,18.423444483543207,I15_L5_on1.5_off0.5_500p_search,
15,5,1.5,0.5,250p,ok,False,125.30105274299797,15.007852047758313,14.750038846566758,18.423257099527195,I15_L5_on1.5_off0.5_250p_verification,
15,5,0.5,2.0,500p,ok,False,105.98596939350355,15.023868199061674,14.781146413703892,18.472480915860455,I15_L5_on0.5_off2_500p_search,
15,5,1.0,1.5,500p,ok,True,92.29501646682485,15.015713389779517,14.767685870711672,18.450201119847083,I15_L5_on1_off1.5_500p_search,
15,5,1.0,1.5,250p,ok,False,112.41877771582212,15.015795772688469,14.767931547950045,18.45037405925077,I15_L5_on1_off1.5_250p_verification,
15,5,1.5,1.0,500p,ok,False,116.57138268942481,15.007786171415995,14.754862799767643,18.428012581543655,I15_L5_on1.5_off1_500p_search,
15,5,2.0,0.5,500p,ok,False,120.30280545403244,14.999935524795983,14.742273365875825,18.40603429971818,I15_L5_on2_off0.5_500p_search,
15,5,0.5,2.5,500p,ok,False,101.9135819427472,15.023869722177144,14.786064768224403,18.47738687814375,I15_L5_on0.5_off2.5_500p_search,
15,5,1.0,2.0,500p,ok,False,104.81493690323076,15.015712599350861,14.772768214392167,18.45528030533882,I15_L5_on1_off2_500p_search,
15,5,1.5,1.5,500p,ok,False,108.40143493846563,15.00778575653943,14.759791011131366,18.432934040964376,I15_L5_on1.5_off1.5_500p_search,
15,5,2.0,1.0,500p,ok,False,113.80552214248524,15.00000511244589,14.747097703956937,18.41082145862085,I15_L5_on2_off1_500p_search,
15,5,2.5,0.5,500p,ok,False,118.0353599689209,14.992144778332463,14.734664667844296,18.38901719872946,I15_L5_on2.5_off0.5_500p_search,
15,5,0.5,3.0,500p,ok,False,100.683158771894,15.02371996340507,14.791217914923044,18.48252690252664,I15_L5_on0.5_off3_500p_search,
15,5,1.0,2.5,500p,ok,False,103.32933620298986,15.015713990417018,14.778056385966558,18.460570643215135,I15_L5_on1_off2.5_500p_search,
15,5,1.5,2.0,500p,ok,False,104.2675556773594,15.00787816605512,14.765043267801223,18.438259995508503,I15_L5_on1.5_off2_500p_search,
15,5,2.0,1.5,500p,ok,False,106.29405606260727,14.999936309436858,14.751972562431215,18.41567253533903,I15_L5_on2_off1.5_500p_search,
15,5,2.5,1.0,500p,ok,False,109.78166130377153,14.992144549029664,14.739451728271844,18.393772310561488,I15_L5_on2.5_off1_500p_search,
15,5,3.0,0.5,500p,ok,False,113.98220080097256,14.984397196586198,14.726763856996776,18.37179016143425,I15_L5_on3_off0.5_500p_search,
15,5,0.5,3.5,500p,ok,False,102.7887009804071,15.023720108778155,14.796621732103551,18.487905214791663,I15_L5_on0.5_off3.5_500p_search,
15,5,1.0,3.0,500p,ok,False,101.82533759257554,15.015713127896591,14.783261849976434,18.46575153432978,I15_L5_on1_off3_500p_search,
15,5,1.5,2.5,500p,ok,False,100.71398323343188,15.007785678549125,14.770144062581213,18.443354760654575,I15_L5_on1.5_off2.5_500p_search,
15,5,2.0,2.0,500p,ok,False,102.42047019714155,14.999955098106536,14.75725171377107,18.42098471576692,I15_L5_on2_off2_500p_search,
15,5,2.5,1.5,500p,ok,False,103.2675335645354,14.992143645728683,14.744227028021044,18.398521060949605,I15_L5_on2.5_off1.5_500p_search,
15,5,3.0,1.0,500p,ok,True,92.45767291732984,14.984397978543404,14.73152696052356,18.37658931097935,I15_L5_on3_off1_500p_search,
15,5,3.0,1.0,250p,ok,False,106.4413713988575,14.984405027911642,14.731747113487497,18.376746563188377,I15_L5_on3_off1_250p_verification,
